Agent_Name
claude[bot]
copilot[bot]
coderabbitai[bot]
cursor[bot]
devin-ai-integration[bot]
gemini-code-assist[bot]
sourcery-ai[bot]
greptile-apps[bot]
qodo-merge-for-open-source[bot]
qodo-merge-pro[bot]
openhands-ai[bot]
google-labs-jules[bot]
bito-code-review[bot]
petercat-assistant[bot]
chatgpt-codex-connector[bot]
mintlify[bot]
