FeedType,AN,ASug,AAdopt,HN,HSug,HAdopt,Diff
Knowledge Transfer,170,-,-,10771,2038,75.8%,-
Code Improvement,94913,53501,16.8%,93176,20166,59.2%,-42.3%
Defects,56981,33019,16.7%,2711,616,53.7%,-37.0%
Understanding,494,-,-,6486,1354,51.0%,-
Misc,0,-,-,7598,1499,1.2%,-
External Impact,1273,658,6.5%,316,-,-,-
Testing,1566,833,7.6%,1077,-,-,-
Total,155397,88011,16.6%,123393,25673,56.5%,-39.9%
