"reviewer_type","metric","n_total","n_increase","pct_increase","mean_increase","n_decrease","pct_decrease","mean_decrease","n_unchanged","pct_unchanged","wilcox_p","cliff_delta","cliff_magnitude","human_changed_n","agent_changed_n","human_changed_mean","agent_changed_mean"
"Human","Complexity",1462,111,7.59233926128591,5.77573303833672,152,10.3967168262654,-2.69165304860591,1199,82.0109439124487,0.068663102035931,-0.0854451218216961,"negligible",263,358,0.882034615464933,2.73018352734178
"Agent","Complexity",2053,184,8.96249391134925,7.08537017868635,174,8.47540185094983,-1.87530120741341,1695,82.5621042377009,0.068663102035931,-0.0854451218216961,"negligible",263,358,0.882034615464933,2.73018352734178
"Human","Coupling",1462,182,12.4487004103967,133.049439647004,217,14.8426812585499,-97.2630426454782,1063,72.7086183310534,0.275122579715246,0.040646169880146,"negligible",399,606,7.79177383881211,-17.9177407768438
"Agent","Coupling",2053,256,12.469556746225,93.3868300554904,350,17.0482221139795,-99.3290840142082,1447,70.4822211397954,0.275122579715246,0.040646169880146,"negligible",399,606,7.79177383881211,-17.9177407768438
"Human","Cohesion",1462,114,7.79753761969904,140.581281249218,147,10.0547195622435,-112.085656887007,1201,82.1477428180575,0.149502340536059,0.0666077217801358,"negligible",261,390,-1.72538505739151,-14.7345617054827
"Agent","Cohesion",2053,148,7.20896249391135,172.969540321122,242,11.7876278616659,-129.528805920101,1663,81.0034096444228,0.149502340536059,0.0666077217801358,"negligible",261,390,-1.72538505739151,-14.7345617054827
