Category,AvgC,vs_HRH,in_ACC,in_REJ
HRH,1.76,-,1.78,1.62
HRA,1.97,+11.8%,1.97,1.99
ARH,1.23,-30.6%,1.24,1.13
ARA,1.2,-31.9%,1.22,1.08
