FeedbackType,HRH_R,HRH_AvgC,HRH_GT1C,HRA_R,HRA_AvgC,HRA_GT1C,ARH_R,ARH_AvgC,ARH_GT1C,ARA_R,ARA_AvgC,ARA_GT1C
Understanding,1,2.1,69.0,1,2.3,79.0,-,-,-,-,-,-
External Impact,2,2.0,56.1,-,-,-,1,1.2,15.6,-,-,-
Defect Detection,2,1.9,54.1,2,2.1,80.8,1,1.3,17.0,1,1.2,14.8
Testing,2,1.8,53.8,2,2.0,81.6,1,1.2,13.1,-,-,-
Code Improvement,3,1.6,39.2,3,1.9,75.3,1,1.2,12.4,1,1.2,16.6
Knowledge Transfer,3,1.5,33.2,3,1.8,58.4,-,-,-,-,-,-
Social,4,1.4,26.8,3,1.9,75.8,-,-,-,-,-,-
