Category,Metric,Human_Mean_Delta,Agent_Mean_Delta,P_Value,Cliffs_Delta,Effect_Size
Complexity,Sum Strict Modified CC,0.0033112582781456954,0.10550284629981024,2.2911060264769405e-08,-0.050330288064809346,Negligible
Complexity,Sum Strict CC,-0.0016556291390728477,0.10550284629981024,2.2911060264769405e-08,-0.050330288064809346,Negligible
Complexity,Sum Modified CC,0.009381898454746136,0.0857685009487666,3.6258253726944313e-06,-0.03790500605283771,Negligible
Complexity,Sum CC,-0.002207505518763797,0.08500948766603415,4.994900016361774e-06,-0.036705538870109036,Negligible
Code Size,Executable Statements,0.09933774834437085,0.1760910815939279,1.810213613244659e-05,-0.03953487397949994,Negligible
Code Size,Statements,0.1076158940397351,0.2159392789373814,0.0002521447656843512,-0.03586547201662122,Negligible
