category,n,CD_mean,CD_median,CD_Q1,CD_Q3,CD_SD
ARH,154467,29.62,12.45,6.33,31.6,52.19
ARA,928,11.3,7.0,5.0,10.85,50.01
HRH,116786,4.07,2.62,1.38,4.84,8.16
HRA,6508,3.85,2.44,1.3,4.5,9.78
