category,CD
ARH,6.5000
ARH,5.0769
ARH,10.7778
ARH,9.4444
ARH,9.6667
HRH,13.2222
HRH,2.1111
HRH,4.8750
HRH,6.3750
HRH,3.5556
ARH,18.4444
ARH,9.4444
ARH,7.7500
ARH,10.0000
ARH,7.3333
ARH,11.8750
ARH,13.2500
ARH,11.1111
ARH,11.3750
ARH,8.1250
ARH,13.2000
ARH,6.5556
ARH,13.2500
ARH,10.3750
HRH,7.0000
HRH,1.3750
HRH,0.6154
HRH,4.6000
HRH,5.1765
HRH,7.1111
HRH,4.1111
HRH,2.1111
HRH,15.2222
HRH,3.8571
HRH,2.5714
HRH,1.6667
HRH,2.1818
HRH,7.2500
ARH,10.2222
HRH,1.8571
HRH,1.2857
HRH,2.5000
HRH,1.5714
HRH,1.0000
HRH,1.2857
HRH,1.2857
HRH,0.6667
HRH,1.4444
HRH,1.0000
HRH,1.0000
HRH,1.7143
HRH,4.0000
HRH,1.0000
ARH,3.8889
ARH,3.8889
ARH,2.4000
ARH,2.4000
HRH,0.8889
HRH,1.1111
HRH,2.2857
HRH,1.0000
HRH,0.6667
HRH,3.2222
ARH,8.1111
ARH,9.0000
ARH,8.7500
ARH,18.5556
HRH,3.7500
ARH,8.2222
ARH,8.1111
ARH,8.1111
ARH,8.2222
ARH,8.1111
HRH,3.9412
HRH,3.1818
HRH,3.1111
HRH,2.7778
HRH,3.7778
HRH,2.8889
HRH,8.1111
HRH,6.0000
HRH,4.0000
ARH,11.3333
ARH,10.2667
ARH,14.0000
HRH,5.6667
HRH,2.3333
HRH,1.0000
HRH,7.0000
HRH,1.0000
HRH,5.2500
HRH,2.7931
HRH,3.7692
HRH,5.0000
HRH,7.4444
HRH,2.0000
HRH,2.0000
ARH,0.7545
ARH,2.8667
HRH,0.6667
HRH,10.2222
HRH,3.1111
HRH,0.8889
HRH,5.1250
HRH,1.7778
HRH,2.3333
HRH,0.3333
HRH,3.0000
HRH,0.3077
HRH,3.1111
HRH,1.3000
HRH,5.8889
HRH,1.1250
HRH,4.5000
HRH,1.2000
HRH,3.0000
HRH,5.2500
HRH,4.7778
HRH,1.4444
HRH,0.2222
HRH,0.1111
HRH,0.1111
HRH,0.1111
HRH,0.1111
HRH,1.4444
HRH,0.3750
HRH,4.0000
HRH,2.4000
HRH,1.4444
HRH,3.8889
HRH,1.7500
HRH,1.6667
HRH,1.5556
HRH,0.6667
HRH,0.1111
HRH,2.2222
HRH,11.6667
HRH,4.2500
HRH,6.3333
HRH,6.8182
HRH,2.0000
HRH,4.1111
HRH,1.7778
HRH,0.4444
ARH,31.0667
ARH,20.7273
ARH,24.1429
ARH,12.5000
HRH,5.4000
HRH,5.8889
HRH,2.5556
HRH,0.2654
HRH,2.1111
HRH,0.0300
HRH,2.6250
HRH,3.6667
HRH,2.1111
HRH,5.8889
HRH,1.3750
HRH,1.3750
ARH,24.3333
HRH,5.0000
HRH,7.6250
HRH,2.5000
HRH,1.8889
HRH,4.1667
HRH,44.0000
HRH,2.0556
ARH,15.2667
ARH,10.2222
ARH,8.5000
HRH,3.6667
HRH,1.7778
HRH,2.0000
ARH,17.5455
HRH,5.6667
HRH,2.1111
ARH,25.6250
HRH,3.1111
