Category,Outcome,Count,Avg_Duration,Std_Dev
HRH,ACC,107759,1.777,1.144
HRH,REJ,9115,1.615,1.138
HRH,Total,116874,1.764,1.144
HRA,ACC,5253,1.97,0.969
HRA,REJ,1266,1.987,1.05
HRA,Total,6519,1.973,0.985
ARH,ACC,131870,1.241,0.646
ARH,REJ,22599,1.134,0.514
ARH,Total,154469,1.225,0.63
ARA,ACC,785,1.223,0.558
ARA,REJ,143,1.084,0.346
ARA,Total,928,1.202,0.533
