"Comment
Taxonomy",HRH,,HRA,,ARH,,ARA,
,AvgC,>1C,AvgC,>1C,AvgC,>1C,AvgC,>1C
"Code
Improvement",1.6,39.2,1.9,75.3,1.2,12.4,1.2,16.6
Defects,1.9,54.1,2.1,80.8,1.3,17.0,1.2,14.8
"External
Impact",2.0,56.1,-,-,1.2,15.6,-,-
"Knowledge
Transfer",1.5,33.2,1.8,58.4,1.2,11.9,-,-
Misc,1.2,17.5,1.3,26.8,-,-,-,-
"No
feedback",1.2,12.0,-,-,-,-,-,-
"Social
Communication",1.4,26.8,1.9,75.8,-,-,-,-
Testing,1.8,53.8,2.0,81.6,1.2,13.1,-,-
Understanding,2.1,69.0,2.3,79.0,1.2,19.4,-,-
