Category,ACC_Count,ACC_ATC,ACC_Delta,REJ_Count,REJ_ATC,REJ_Delta,Total_Count,Total_ATC,Total_Delta
HRH,107759,1.78,-,9115,1.62,-,116874,1.76,-
HRA,5253,1.97,+10.9%,1266,1.99,+23.0%,6519,1.97,+11.8%
ARH,131870,1.24,-30.2%,22599,1.13,-29.8%,154469,1.23,-30.6%
ARA,785,1.22,-31.2%,143,1.08,-32.9%,928,1.2,-31.9%
