Metric,Delta_Column,P_Value,Cliffs_Delta,Effect_Size,Mean_Human,Mean_AI,Median_Human,Median_AI,Count_Human,Count_AI
AverageCommentLinesIncludesInactive,AverageCommentLinesIncludesInactive_Delta,0.08814445400937129,0.0,Not Significant,0.0011037527593818985,0.0,0.0,0.0,1812,2635
AverageEssentialComplexity,AverageEssentialComplexity_Delta,0.12400644357652749,0.0,Not Significant,-0.0016556291390728477,0.0030360531309297912,0.0,0.0,1812,2635
LinesJavaScript,LinesJavaScript_Delta,0.14263435899469282,0.0,Not Significant,0.024282560706401765,0.08197343453510436,0.0,0.0,1812,2635
AverageCommentLines,AverageCommentLines_Delta,0.17159677814030516,0.0,Not Significant,0.00772626931567329,0.0011385199240986717,0.0,0.0,1812,2635
CommentLinesPHP,CommentLinesPHP_Delta,0.1820317845584002,0.0,Not Significant,0.0380794701986755,0.003795066413662239,0.0,0.0,1812,2635
MaxInheritanceTree,MaxInheritanceTree_Delta,0.18223314827353376,0.0,Not Significant,-0.014900662251655629,0.005313092979127135,0.0,0.0,1812,2635
BaseClasses,BaseClasses_Delta,0.18431837252864913,0.0,Not Significant,-0.017108167770419427,0.03643263757115749,0.0,0.0,1812,2635
CommentLinesIncludesInactive,CommentLinesIncludesInactive_Delta,0.19550664806467621,0.0,Not Significant,0.01545253863134658,0.0064516129032258064,0.0,0.0,1812,2635
EmptyStatements,EmptyStatements_Delta,0.22803266757255758,0.0,Not Significant,-0.0005518763796909492,0.0,0.0,0.0,1812,2635
AverageLines,AverageLines_Delta,0.24428793995820275,0.0,Not Significant,-0.03145695364238411,0.0713472485768501,0.0,0.0,1812,2635
ExecutableStatementsPHP,ExecutableStatementsPHP_Delta,0.2555302235589043,0.0,Not Significant,0.028145695364238412,0.011005692599620493,0.0,0.0,1812,2635
CodeLinesIncludesInactive,CodeLinesIncludesInactive_Delta,0.25560483406565504,0.0,Not Significant,-0.0027593818984547464,0.014800759013282733,0.0,0.0,1812,2635
PathsLogx,PathsLogx_Delta,0.26576858356095934,0.0,Not Significant,0.0,0.0026565464895635673,0.0,0.0,1812,2635
MaxModifiedCyclomaticCompexity,MaxModifiedCyclomaticCompexity_Delta,0.2700220058305546,0.0,Not Significant,0.013245033112582781,0.009867172675521821,0.0,0.0,1812,2635
CodeLinesJavaScript,CodeLinesJavaScript_Delta,0.27145940813008695,0.0,Not Significant,0.016556291390728478,0.05313092979127135,0.0,0.0,1812,2635
DerivedClasses,DerivedClasses_Delta,0.2817184323962748,0.0,Not Significant,-0.0033112582781456954,0.003415559772296015,0.0,0.0,1812,2635
BlankLinesJavaScript,BlankLinesJavaScript_Delta,0.29434964506239847,0.0,Not Significant,0.004966887417218543,-0.0018975332068311196,0.0,0.0,1812,2635
LinesHTML,LinesHTML_Delta,0.30509937454383906,0.0,Not Significant,0.0011037527593818985,0.011764705882352941,0.0,0.0,1812,2635
PercentLackOfCohesion,PercentLackOfCohesion_Delta,0.3216761759197656,0.0,Not Significant,-0.36909120640176596,-0.0516951294117647,0.0,0.0,1812,2635
MaxNesting,MaxNesting_Delta,0.3406136518282701,0.0,Not Significant,0.00772626931567329,0.003415559772296015,0.0,0.0,1812,2635
MaxCyclomaticComplexity,MaxCyclomaticComplexity_Delta,0.35342750556185687,0.0,Not Significant,0.01379690949227373,0.009867172675521821,0.0,0.0,1812,2635
PercentLackOfCohesionModified,PercentLackOfCohesionModified_Delta,0.3593768344998458,0.0,Not Significant,-0.4204161462472406,-0.01597090436432639,0.0,0.0,1812,2635
CommentLines,CommentLines_Delta,0.43711524343245123,0.0,Not Significant,0.07339955849889625,0.12903225806451613,0.0,0.0,1812,2635
AverageBlankLines,AverageBlankLines_Delta,0.5565122683852302,0.0,Not Significant,-0.003863134657836645,-0.0007590132827324478,0.0,0.0,1812,2635
CommenttoCodeRatio,CommenttoCodeRatio_Delta,0.565854830933822,0.0,Not Significant,0.0008333333333333334,0.0016091081593927895,0.0,0.0,1812,2635
LinesPHP,LinesPHP_Delta,0.6125369845816584,0.0,Not Significant,0.09105960264900662,-0.0030360531309297912,0.0,0.0,1812,2635
PreprocessorLines,PreprocessorLines_Delta,0.6386041370773726,0.0,Not Significant,0.004966887417218543,0.004174573055028463,0.0,0.0,1812,2635
DeclarativeStatementsPHP,DeclarativeStatementsPHP_Delta,0.7112315865407342,0.0,Not Significant,0.003863134657836645,0.0003795066413662239,0.0,0.0,1812,2635
AverageCodeLinesIncludesInactive,AverageCodeLinesIncludesInactive_Delta,0.7117969393022239,0.0,Not Significant,-0.0011037527593818985,0.0,0.0,0.0,1812,2635
Classes,Classes_Delta,0.7904627078316434,0.0,Not Significant,0.0005518763796909492,0.0007590132827324478,0.0,0.0,1812,2635
ClassMethods,ClassMethods_Delta,0.8011233800038428,0.0,Not Significant,-0.07119205298013245,0.1206831119544592,0.0,0.0,1812,2635
BlankLinesPHP,BlankLinesPHP_Delta,0.835181589459514,0.0,Not Significant,0.009381898454746136,-0.0011385199240986717,0.0,0.0,1812,2635
InstanceMethods,InstanceMethods_Delta,0.8395213885073529,0.0,Not Significant,-0.0005518763796909492,-0.0007590132827324478,0.0,0.0,1812,2635
Methods,Methods_Delta,0.8509334990835402,0.0,Not Significant,-0.0005518763796909492,-0.0003795066413662239,0.0,0.0,1812,2635
DeclarativeStatementsJavascript,DeclarativeStatementsJavascript_Delta,0.8775235251879901,0.0,Not Significant,0.00772626931567329,0.009108159392789373,0.0,0.0,1812,2635
MaxEssentialComplexity,MaxEssentialComplexity_Delta,0.9110252180945916,0.0,Not Significant,0.02041942604856512,0.008349146110056925,0.0,0.0,1812,2635
