repo,pr_id,thread_id,path,review_category,language,old_is_applied,old_similarity,old_before_similarity,old_matched_commit,old_commit_lines,final_is_applied,final_similarity,final_before_similarity,final_commit_sha,final_commit_lines,final_commit_added_lines,aggregated_lines_total,deduplicated_lines_total,status_changed,change_type,similarity_diff,sug_startline,sug_LOC
APSIMInitiative/ApsimX,10444,2335692193,Models/PreSimulationTools/ObservedInput.cs,ARH,cs,True,0.5294,0.5172,721a3c4,548-550,True,0.6311,0.5876,721a3c4,549-550,62,141,112,NO,CONFIRMED_DIFFERENT_SCORE,0.1017,503,3
APSIMInitiative/ApsimX,10463,2347939631,.github/workflows/run-model-validations.yml,ARH,yml,True,1.0000,0.7143,be83ae3,76-76,True,0.9815,0.8720,be83ae3,76-76,1,5,4,NO,CONFIRMED_STABLE,-0.0185,76,1
APSIMInitiative/ApsimX,10463,2347939661,APSIM.Workflow/FileSplitter.cs,ARH,cs,True,1.0000,0.5833,be83ae3,476-477,True,0.9523,0.7667,be83ae3,476-477,4,190,186,NO,CONFIRMED_STABLE,-0.0477,476,2
APSIMInitiative/ApsimX,10488,2361468013,.github/workflows/run-model-validations.yml,ARH,yml,True,1.0000,0.1765,f85b67e,32-32,True,0.9774,0.5810,978a963,32-32,1,148,146,NO,CONFIRMED_STABLE,-0.0226,32,1
APSIMInitiative/ApsimX,10488,2361468031,.github/workflows/run-model-validations.yml,ARH,yml,True,1.0000,0.7143,978a963,30-30,True,0.9801,0.6891,978a963,30-30,1,148,146,NO,CONFIRMED_STABLE,-0.0199,30,1
APSIMInitiative/ApsimX,10490,2361702754,README.md,ARH,md,True,1.0000,0.8929,10f5aea,58-58,True,1.0000,0.9525,ac6ba69,58-58,0,187,135,NO,CONFIRMED_STABLE,0.0000,58,1
APSIMInitiative/ApsimX,10490,2361702763,README.md,ARH,md,True,1.0000,0.8571,124b73c,49-50,True,1.0000,0.9175,ac6ba69,49-50,0,187,135,NO,CONFIRMED_STABLE,0.0000,49,2
APSIMInitiative/ApsimX,10490,2361702771,README.md,ARH,md,True,1.0000,0.9355,bb6af97,57-57,True,1.0000,0.9727,ac6ba69,57-57,0,187,135,NO,CONFIRMED_STABLE,0.0000,57,1
APSIMInitiative/ApsimX,10490,2377409908,README.md,ARH,md,True,1.0000,0.8750,00f90fa,68-68,True,1.0000,1.0000,ac6ba69,68-68,0,187,135,NO,CONFIRMED_STABLE,0.0000,68,1
APSIMInitiative/ApsimX,10490,2377409916,README.md,ARH,md,True,1.0000,1.0000,e4840a8,99-99,True,0.9976,1.0000,ac6ba69,99-99,0,187,135,NO,CONFIRMED_STABLE,-0.0024,99,1
