thread_id,repo,path,language,language_normalized,reviewer_type,feed_type,file_size_before,file_size_after,LackOfCohesion_Functions_Before,LackOfCohesion_Functions_After,LackOfCohesion_Functions_Delta,LackOfCohesion_Classes_Before,LackOfCohesion_Classes_After,LackOfCohesion_Classes_Delta,NumBaseClasses_Before,NumBaseClasses_After,NumBaseClasses_Delta,NumCoupledClasses_Before,NumCoupledClasses_After,NumCoupledClasses_Delta,NumDerivedClasses_Before,NumDerivedClasses_After,NumDerivedClasses_Delta,InputsOfFunctions_Before,InputsOfFunctions_After,InputsOfFunctions_Delta,OutputsOfFunctions_Before,OutputsOfFunctions_After,OutputsOfFunctions_Delta,InputsOfClasses_Before,InputsOfClasses_After,InputsOfClasses_Delta,OutputsOfClasses_Before,OutputsOfClasses_After,OutputsOfClasses_Delta,CyclomaticComplexity_Total_Before,CyclomaticComplexity_Total_After,CyclomaticComplexity_Total_Delta,CyclomaticComplexity_Avg_Before,CyclomaticComplexity_Avg_After,CyclomaticComplexity_Avg_Delta,CyclomaticComplexity_Max_Before,CyclomaticComplexity_Max_After,CyclomaticComplexity_Max_Delta,MaxNesting_Before,MaxNesting_After,MaxNesting_Delta,LinesOfCode_Before,LinesOfCode_After,LinesOfCode_Delta,LinesOfComment_Before,LinesOfComment_After,LinesOfComment_Delta,CountStmt_Before,CountStmt_After,CountStmt_Delta
2202312281,Azure/azure-sdk-for-net,sdk/identity/Azure.Identity.Broker/src/TemporaryConstants.cs,cs,,Agent,Code Improvement,620,622,0.0,0.0,0.0,0.0,0.0,0.0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,9,9,0,3,3,0
2207860985,Azure/azure-sdk-for-net,sdk/batch/Azure.ResourceManager.Batch/src/Custom/ArmBatchModelFactory.cs,cs,,Agent,Code Improvement,9488,10030,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,26,26,0,0,0,33,33,0,1,1,0,0,66,66,0,2,2,2,2,0,2,2,0,2,2,0,0,0,0,17,51,34,42,42,0,10,10,0
2232032472,Azure/azure-sdk-for-net,sdk/iotoperations/Azure.ResourceManager.IotOperations/src/Customization/Models/IotOperationsDataflowprofileData.cs,cs,,Agent,Code Improvement,988,987,0.0,0.0,0.0,0.0,0.0,0.0,1,0,-1,1,0,-1,0,0,0,1,1,0,3,3,0,2,0,-2,6,0,-6,1,1,0,1,1,0,1,1,0,0,0,0,16,16,0,6,6,0,10,10,0
2232032482,Azure/azure-sdk-for-net,sdk/iotoperations/Azure.ResourceManager.IotOperations/src/Customization/Models/IotOperationsDataflowEndpointData.cs,cs,,Agent,Code Improvement,993,992,0.0,0.0,0.0,0.0,0.0,0.0,1,0,-1,1,0,-1,0,0,0,1,1,0,3,3,0,2,0,-2,6,0,-6,1,1,0,1,1,0,1,1,0,0,0,0,16,16,0,6,6,0,10,10,0
2232032489,Azure/azure-sdk-for-net,sdk/iotoperations/Azure.ResourceManager.IotOperations/src/Customization/Models/IotOperationsDataflowData.cs,cs,,Agent,Code Improvement,1127,1133,0.0,0.0,0.0,0.0,0.0,0.0,1,0,-1,1,0,-1,0,0,0,1,1,0,3,3,0,2,0,-2,6,0,-6,1,1,0,1,1,0,1,1,0,0,0,0,16,16,0,10,10,0,10,10,0
2232199046,Azure/azure-sdk-for-net,sdk/core/System.ClientModel/tests/Pipeline/ClientPipelineTests.cs,cs,,Agent,Defects,15941,15940,0.0,0.0,0.0,0.0,0.0,0.0,1,0,-1,12,0,-12,0,0,0,3,3,0,60,60,0,12,0,-12,224,0,-224,13,13,0,1,1,0,1,1,0,0,0,0,296,296,0,2,2,0,192,192,0
2232199061,Azure/azure-sdk-for-net,sdk/core/System.ClientModel/tests/Pipeline/ClientPipelineTests.cs,cs,,Agent,Defects,15941,15940,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,3,0,60,60,0,0,0,0,0,0,0,13,13,0,1,1,0,1,1,0,0,0,0,296,296,0,2,2,0,192,192,0
2244009301,Azure/azure-sdk-for-net,sdk/storage/Azure.Storage.DataMovement/src/Shared/DataMovementExtensions.cs,cs,,Agent,Code Improvement,10177,10179,0.0,0.0,0.0,0.0,0.0,0.0,1,0,-1,12,0,-12,0,0,0,25,28,3,31,31,0,53,0,-53,62,0,-62,21,21,0,3,3,0,4,4,0,1,1,0,143,143,0,28,28,0,52,52,0
2247371937,Azure/azure-sdk-for-net,eng/packages/http-client-csharp-mgmt/generator/Azure.Generator.Management/src/Visitors/NameVisitor.cs,cs,,Agent,Defects,7987,7678,91.0,0.0,-91.0,88.0,0.0,-88.0,1,0,-1,13,0,-13,0,0,0,31,28,-3,34,31,-3,57,0,-57,63,0,-63,27,25,-2,3,3,0,6,6,0,2,2,0,163,158,-5,14,14,0,89,86,-3
2249013630,Azure/azure-sdk-for-net,sdk/identity/Azure.Identity/src/Credentials/DefaultAzureCredentialOptions.cs,cs,,Human,Code Improvement,18945,18946,77.0,0.0,-77.0,77.0,0.0,-77.0,4,0,-4,9,0,-9,0,0,0,274,312,38,125,130,5,12,0,-12,87,0,-87,64,64,0,1,1,0,5,5,0,1,1,0,171,171,0,123,123,0,151,151,0
2250648010,Azure/azure-sdk-for-net,eng/packages/http-client-csharp-mgmt/generator/Azure.Generator.Management/test/NameVisitorTests.cs,cs,,Agent,Defects,4260,4261,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,1,0,0,0,10,10,0,30,30,0,0,18,18,0,48,48,11,11,0,2,2,0,3,3,0,0,0,0,61,61,0,4,4,0,43,43,0
2251943537,Azure/azure-sdk-for-net,sdk/loadtestservice/Azure.Developer.Playwright/src/Constants.cs,cs,,Agent,Defects,11288,11345,0.0,18.4,18.4,0.0,16.2,16.2,0,12,12,0,8,8,0,0,0,26,30,4,28,28,0,0,56,56,0,48,48,22,22,0,1,1,0,3,3,0,0,0,0,104,104,0,72,72,0,92,92,0
2279165778,Azure/azure-sdk-for-net,sdk/containerregistry/Azure.Containers.ContainerRegistry/src/Models/AcrAccessToken.cs,cs,,Human,Code Improvement,249,248,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,3,3,0,2,2,0
2279166176,Azure/azure-sdk-for-net,sdk/containerregistry/Azure.Containers.ContainerRegistry/src/Models/AcrRefreshToken.cs,cs,,Human,Code Improvement,246,245,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,3,0,2,2,0
