repo,pr_number,thread_id,pr_author,pr_created_at,comment_count,turn_type,review_category,turn_sequence_roles,comment_sequence,max_gap_hours,first_response_hours,agent_suggestion_present,mentioned_files,linked_commits,linked_commit_windows,pr_merged,pr_merge_timestamp,pr_closed_at
APSIMInitiative/ApsimX,10359,2299354840,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2299354840,2025-08-25T23:31:33+00:00,created)->Human(HamishBrownPFR,2299668363,2025-08-26T03:41:24+00:00,created)",4.164,17.910,true,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10359,2299354843,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2299354843,2025-08-25T23:31:33+00:00,created)->Human(HamishBrownPFR,2299662161,2025-08-26T03:35:13+00:00,created)",4.061,17.910,true,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10359,2320474449,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,2,multi-turn,Human_Review_Human,H(PR)->H->H,"Human(hut104,2320474449,2025-09-03T23:32:56+00:00,created)->Human(HamishBrownPFR,2320566052,2025-09-04T01:07:44+00:00,created)",1.580,233.933,false,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10359,2320474865,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,1,single-turn,Human_Review_Human,H(PR)->H,"Human(hut104,2320474865,2025-09-03T23:33:21+00:00,created)",,233.940,false,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10359,2320479128,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,2,multi-turn,Human_Review_Human,H(PR)->H->H,"Human(hut104,2320479128,2025-09-03T23:38:04+00:00,created)->Human(HamishBrownPFR,2320568263,2025-09-04T01:10:10+00:00,created)",1.535,234.018,false,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10359,2320494614,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,2,multi-turn,Human_Review_Human,H(PR)->H->H,"Human(hut104,2320494614,2025-09-03T23:54:43+00:00,created)->Human(HamishBrownPFR,2320574859,2025-09-04T01:16:50+00:00,created)",1.369,234.296,false,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10359,2320501170,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,3,multi-turn,Human_Review_Human,H(PR)->H->H->H,"Human(hut104,2320501170,2025-09-04T00:02:01+00:00,created)->Human(HamishBrownPFR,2320689991,2025-09-04T03:03:59+00:00,created)->Human(HamishBrownPFR,2331878221,2025-09-09T03:01:26+00:00,created)",119.957,234.417,false,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10359,2338191440,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2338191440,2025-09-10T23:56:58+00:00,created)->Human(HamishBrownPFR,2342915278,2025-09-12T04:23:30+00:00,created)",28.442,402.333,true,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10359,2338191461,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2338191461,2025-09-10T23:56:58+00:00,created)->Human(HamishBrownPFR,2342920332,2025-09-12T04:28:08+00:00,created)",28.519,402.333,false,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10359,2338191476,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2338191476,2025-09-10T23:56:59+00:00,created)->Human(HamishBrownPFR,2342920207,2025-09-12T04:28:01+00:00,created)",28.517,402.334,false,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10359,2338191487,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2338191487,2025-09-10T23:56:59+00:00,created)->Human(HamishBrownPFR,2342920089,2025-09-12T04:27:54+00:00,created)",28.515,402.334,true,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10359,2350647150,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,2,multi-turn,Human_Review_Human,H(PR)->H->H,"Human(par456,2350647150,2025-09-16T03:50:58+00:00,created)->Human(HamishBrownPFR,2353578001,2025-09-16T20:26:47+00:00,created)",16.597,526.233,false,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
APSIMInitiative/ApsimX,10359,2350648921,Human(HamishBrownPFR),2025-08-25T05:36:58+00:00,2,multi-turn,Human_Review_Human,H(PR)->H->H,"Human(par456,2350648921,2025-09-16T03:51:34+00:00,created)->Human(HamishBrownPFR,2353581687,2025-09-16T20:28:39+00:00,created)",16.618,526.243,false,,,,true,2025-09-16T23:01:19Z,2025-09-16T23:01:19+00:00
